ClienteID,NomeCliente,GastoTotal,SegmentoDeValor
6916,Isadora Duarte,17794.54,Alto Valor
6884,Otto Moreira,15496.12,Alto Valor
6875,Ana Júlia Caldeira,16432.75,Alto Valor
6865,Miguel Fogaça,11713.25,Alto Valor
7137,Sofia Freitas,12062.14,Alto Valor
6874,Lorena Brito,10232.77,Alto Valor
6920,Otto Pinto,17433.78,Alto Valor
7027,Oliver Machado,15851.60,Alto Valor
7469,Bella Sousa,12841.14,Alto Valor
6905,Evelyn Novais,23872.79,Alto Valor
7092,Laís da Paz,12098.05,Alto Valor
6896,Brayan Sales,23487.17,Alto Valor
7264,Laís da Cruz,12648.82,Alto Valor
6922,Clarice Marques,17018.55,Alto Valor
6963,Eduardo Fonseca,10072.81,Alto Valor
6888,Cecília Machado,11139.39,Alto Valor
7752,Rafael Costela,10268.02,Alto Valor
7067,Eduardo da Cunha,11612.71,Alto Valor
7177,Olívia Camargo,12942.55,Alto Valor
6883,Theodoro Lima,14068.65,Alto Valor
7407,Gabrielly da Cruz,10780.85,Alto Valor
6925,Allana Ferreira,10777.72,Alto Valor
7206,Davi Luiz Monteiro,14174.23,Alto Valor
7411,Aurora da Costa,11264.56,Alto Valor
7818,Sara Gonçalves,10259.34,Alto Valor
7221,Danilo da Cunha,13216.24,Alto Valor
7377,Pedro Miguel Rios,12031.24,Alto Valor
6946,Melissa Jesus,18000.42,Alto Valor
7416,Hadassa Pinto,12692.21,Alto Valor
6861,Mirella Jesus,13442.42,Alto Valor
7422,Mateus Vargas,12001.77,Alto Valor
6895,Luísa Caldeira,10348.72,Alto Valor
7853,Marcelo da Rocha,12199.52,Alto Valor
7102,Daniela Sales,12115.76,Alto Valor
7409,Clara Freitas,11920.12,Alto Valor
6985,Juliana Monteiro,13407.66,Alto Valor
7287,Lorenzo Leão,11303.64,Alto Valor
6942,Benjamim Vasconcelos,14285.15,Alto Valor
7424,João Pedro da Mota,10253.04,Alto Valor
7561,Davi Lucas Silveira,12618.86,Alto Valor
8020,João Guilherme Vieira,11162.67,Alto Valor
7757,Fernanda Cunha,13270.94,Alto Valor
7677,Gustavo das Neves,13960.92,Alto Valor
7112,Caleb Gomes,10634.92,Alto Valor
7289,Luiz Henrique Souza,12775.75,Alto Valor
7070,Aylla Marques,14944.83,Alto Valor
7497,Rafaela Campos,10693.67,Alto Valor
7238,Olívia Nogueira,11978.25,Alto Valor
7985,Emilly Marques,13868.80,Alto Valor
7150,Davi Lucas da Rocha,12205.02,Alto Valor
7694,Ravy Aparecida,11301.19,Alto Valor
7219,Mirella Mendes,10042.83,Alto Valor
7321,Alexandre Guerra,11953.61,Alto Valor
6990,Mateus Macedo,10240.14,Alto Valor
7508,Kaique Ferreira,10117.96,Alto Valor
7612,Luiz Fernando da Rosa,11488.26,Alto Valor
8186,Carlos Eduardo Vieira,16041.13,Alto Valor
7766,João Miguel Rezende,14320.18,Alto Valor
7728,Maria Júlia Duarte,16898.55,Alto Valor
7121,Catarina Santos,11869.60,Alto Valor
7580,Ana Cecília Almeida,11449.74,Alto Valor
7022,Nina Azevedo,10444.84,Alto Valor
7472,Lucas Gabriel Souza,10071.10,Alto Valor
7306,Murilo Castro,11279.51,Alto Valor
8252,Maria Sophia Sousa,13463.01,Alto Valor
7186,Lívia da Mota,15824.05,Alto Valor
7760,Isabella da Conceição,25296.65,Alto Valor
7286,Caleb Aragão,10077.20,Alto Valor
7673,Davi Miguel da Costa,12969.19,Alto Valor
7308,Enzo Siqueira,17212.29,Alto Valor
7738,Maria Fernanda da Mota,10408.12,Alto Valor
7644,Guilherme Brito,15431.82,Alto Valor
8303,Ana Clara Novais,10469.68,Alto Valor
8114,Manuella Nogueira,13357.25,Alto Valor
7778,Luigi Pires,11620.83,Alto Valor
7132,Matteo Cardoso,10372.95,Alto Valor
7764,Rodrigo Pacheco,17437.03,Alto Valor
7215,Joaquim Marques,16083.13,Alto Valor
7765,Arthur Miguel Dias,12844.91,Alto Valor
7388,Beatriz Rodrigues,11007.41,Alto Valor
8322,Natália Pinto,10481.38,Alto Valor
7236,Ana Cecília Aragão,12575.26,Alto Valor
7843,Mariane Cunha,13119.24,Alto Valor
7352,Vitor Rocha,21997.02,Alto Valor
7830,Antônio Vasconcelos,20371.35,Alto Valor
7761,Antonella Nogueira,11662.98,Alto Valor
7842,Maria Vitória Ramos,10247.74,Alto Valor
7862,Melina Gonçalves,10186.22,Alto Valor
2354,Yuri Rios,11774.61,Alto Valor
8218,Laura das Neves,10914.03,Alto Valor
7928,Emanuel Caldeira,13167.57,Alto Valor
7148,Catarina Gonçalves,16260.39,Alto Valor
8041,Luiz Otávio Moura,13259.47,Alto Valor
7272,Maria Cecília Pacheco,13859.85,Alto Valor
8022,Ayla Dias,12907.10,Alto Valor
7481,Carlos Eduardo Moura,10843.53,Alto Valor
2506,Isadora Cavalcanti,12318.55,Alto Valor
7319,Caroline Guerra,11273.82,Alto Valor
7962,Ana Carolina Souza,16556.30,Alto Valor
7433,Heloísa Nunes,13403.87,Alto Valor
8166,Arthur Gabriel Rodrigues,15642.56,Alto Valor
7863,Olívia Campos,11536.05,Alto Valor
8208,Erick Monteiro,10640.93,Alto Valor
7879,Olivia Costela,20726.98,Alto Valor
2571,André da Cruz,10446.04,Alto Valor
8325,Vitória Nunes,14308.33,Alto Valor
8078,Hadassa Sá,10958.87,Alto Valor
7314,Asafe Carvalho,13726.56,Alto Valor
8182,Eduarda Pastor,11084.68,Alto Valor
7263,Carolina Sousa,13679.05,Alto Valor
8283,Bella Silveira,10661.60,Alto Valor
7608,Dom Rocha,15594.51,Alto Valor
2603,Luigi da Luz,15379.05,Alto Valor
7436,Maria Araújo,11778.03,Alto Valor
8160,Luana Nascimento,15453.24,Alto Valor
7600,Zoe Dias,20928.65,Alto Valor
8232,Enzo Gabriel Almeida,18514.64,Alto Valor
7895,Gabriel Lopes,15580.83,Alto Valor
8310,Nicolas Garcia,11902.02,Alto Valor
7960,Yasmin Rios,11703.18,Alto Valor
2655,Guilherme Costela,12178.70,Alto Valor
8341,Yan da Rosa,17624.67,Alto Valor
8229,Eloá Aparecida,17783.05,Alto Valor
7332,Isadora Guerra,10544.78,Alto Valor
8607,André Sampaio,12706.18,Alto Valor
7483,Yasmin Ribeiro,11849.24,Alto Valor
8326,Maria Cecília Vasconcelos,16182.32,Alto Valor
7556,Arthur Cirino,10408.57,Alto Valor
3242,Maya Rocha,17703.42,Alto Valor
7351,Pietro Carvalho,14272.27,Alto Valor
